PMC	PMID
1280743	2306498
1281033	2248992
1181407	1708824
1260103	1932550
1260163	19431804
1281121	2015392
1978020	1457344
2289333	1734019
1143874	7505824
1225995	8312489
1262469	8324181
1262492	8324199
1225639	7696492
1275777	8011911
1236312	8519983
1282022	7787016
1282052	7787043
1282075	7612815
2396322	7754016
1225060	8785290
1233600	8874007
1388875	16535337
2075944	8883406
2149992	8763882
1181044	9284312
2228074	9328149
6793751	9045736
1533420	9599689
2149964	9514054
2150183	9652753
2150394	9649115
3449564	19002801
3449571	19002794
1300061	9916043
1300162	10096884
1300233	10233078
1300429	10465752
1300504	10512843
1300566	10585917
1508102	10935487
3455966	23345692
1300866	10827961
1300871	10827966
1300920	10866942
1300967	10920001
1301124	11053116
2750459	14727900
3449895	19002986
3483094	10784090
1301545	11463617
2679900	11369459
1301983	11916845
1302074	12023209
1302136	12080109
1302186	12124264
137425	12202757
140131	12379154
2447336	18629052
2750249	12916955
3192030	12388252
1302667	12547771
1303109	12829508
1303357	12944298
1303573	14581197
1502402	12659689
152270	12626744
155389	12754246
164474	12738883
1691273	12641908
1693246	14561336
196923	12960378
2395294	14676803
2574439	18958181
2744140	12661206
2854001	14618919
3466685	19002945
400211	12975533
6734654	12680874
1304191	15111439
1304640	15454417
1305035	15501943
1305039	15475585
1305042	15475590
1305145	15533923
1403741	15255217
1531673	15720795
1665140	15073281
1665185	15272034
1680082	15564115
2588093	15520534
3456318	23345876
365711	14981244
381678	15060140
404049	15096621
1084364	15799781
1187950	16081542
1187997	16087872
1287065	16305756
1366623	15908579
1366955	16199495
1367098	16299082
1571524	15960767
1618501	16849205
2548401	18924631
2645521	19521523
2659659	19319206
3000688	21151769
3449472	19003254
3517917	15831800
3644506	16113075
3703959	15709656
545583	15671173
547842	15665089
6725173	15758155
1403178	16415051
1432129	16473913
1446097	16495338
1471864	16565042
1479052	16603503
1526737	16672051
1544304	16782784
1557566	16815899
1665460	17090326
1681505	16738572
1697862	17040992
1847422	17404606
1941683	16860344
2045071	17173888
2128868	16996295
2324012	23165014
2324029	23165035
2546486	16602715
2581472	16768421
2643283	16601241
2665025	17049564
2782599	17046399
2933179	17038622
3334322	16861693
6674071	16641244
1769409	17222054
1896167	17550624
1973067	17708768
1991600	17912360
1994820	17643544
2001263	17449282
2065761	17655467
2075088	17269246
2080879	17720154
2157224	17872961
2206633	17400926
2211420	17900740
2215319	17467716
2217588	18288240
2239254	18270549
2243223	17475515
2253687	18001830
2254418	17999774
2267511	19003018
2359692	18059395
2360296	17579620
2360372	17687336
2375835	17672847
2396206	17472907
2440398	17597049
2440401	17594967
2533586	18958272
2535814	17417890
2590583	17318485
2594015	17786493
2605504	17567554
2613654	17203399
2617704	17309060
2652069	17374383
2675500	19458763
2699762	17943551
2700059	17714864
2735243	18051062
2740330	18654271
2752716	17677389
2758375	18085411
2758376	18085410
2759135	19936081
2764458	17533114
3000501	21157530
3057205	21415934
3577931	17959690
3819812	17336133
4070297	17985940
2242735	17993498
2262124	18316807
2270258	18230155
2288537	18392132
2326104	18071063
2374550	18467492
2390782	18355689
2443118	18544155
2495039	18348957
2503644	18728698
2517012	18515387
2517035	18515386
2517579	18402980
2527292	18625054
2529040	18663223
2538510	18673579
2544494	18621858
2547432	18556759
2548329	18639926
2548375	18628239
2551735	18846205
2553133	18641070
2562246	18777912
2562372	18713470
2565992	18641130
2570068	18982115
2580727	18175219
2581459	18753043
2583170	18442850
2596616	19045509
2599859	18835895
2600660	19079777
2603074	19627797
2606108	19005055
2607444	18430640
2628876	19077276
2630258	19169385
2630463	18687054
2634000	19704730
2634173	19279709
2634991	19262102
2645566	19404468
2647688	18849207
2651861	19036127
2652547	19669509
2675879	19412353
2677360	19045774
2695622	19526073
2701710	19885372
2711780	18405965
2713193	19067167
2713783	18711399
2721279	18367792
2721377	19707368
2728429	18810639
2731970	20161146
2733099	19787092
2735056	19724659
2744954	18838365
2748927	18620486
2750852	18800878
2754751	19798422
2756705	19809586
2763607	18388955
2782117	18781304
2782416	19946610
2790298	20011625
2792530	20046735
2796126	17969174
2809656	18687053
2813063	20119508
2818997	20150978
2822650	19126473
2831542	18451160
2835857	18500767
2836715	18345647
2838356	19106068
2845389	18711512
2857336	19272864
2859344	18334343
2885000	18804278
2976967	18523889
2977047	18720015
3037274	18787827
3037282	18781303
3132100	18247919
3472664	18485374
3615644	18979205
3924936	27879919
4198069	25328635
4423757	18372448
4423758	18424950
5009369	17957766
5563464	18839176
5565878	18523817
5603148	18951888
5685658	18665367
6495396	11348426
6496292	18211293
7477620	18574856
8532251	18532871
2626714	19126683
2628641	19128495
2633546	19144920
2645686	19247489
2647998	19135204
2651293	19211800
2651322	19218447
2653231	19283073
2668184	19390615
2668195	19115856
2669296	19390597
2672076	19171061
2678100	19371422
2690807	19444618
2695438	19457264
2696420	19476639
2700905	19541627
2701489	19568785
2704861	19189290
2709255	19594871
2709268	19594884
2711338	19619455
2711367	19580741
2712153	19450475
2714240	19455139
2714881	19162456
2716519	19688031
2717223	19217876
2719728	19340487
