term	year	count	count_PMC	count_sum	count_sum_PMC
biology	1999	1	0	1	0
biology	2000	2	0	3	0
biology	2001	4	1	7	1
biology	2002	21	3	28	4
biology	2003	81	32	109	36
biology	2004	154	76	263	112
biology	2005	262	201	525	313
biology	2006	391	288	916	601
biology	2007	486	623	1402	1224
biology	2008	547	921	1949	2145
biology	2009	685	1834	2634	3979
biology	2010	890	1870	3524	5849
biology	2011	934	2353	4458	8202
biology	2012	898	2556	5356	10758
biology	2013	954	2888	6310	13646
biology	2014	1043	3290	7353	16936
biology	2015	1089	3013	8442	19949
biology	2016	1081	2986	9523	22935
biology	2017	1108	2953	10631	25888
biology	2018	1116	3067	11747	28955
biology	2019	987	3144	12734	32099
biology	2020	1126	3758	13860	35857
biology	2021	1301	3975	15161	39832
biology	2022	1175	4326	16336	44158
biology	2023	773	2372	17109	46530
pharmacology	1999	0	0	0	0
pharmacology	2000	0	0	0	0
pharmacology	2001	0	0	0	0
pharmacology	2002	2	0	2	0
pharmacology	2003	0	0	2	0
pharmacology	2004	1	0	3	0
pharmacology	2005	1	1	4	1
pharmacology	2006	2	2	6	3
pharmacology	2007	0	0	6	3
pharmacology	2008	1	3	7	6
pharmacology	2009	2	5	9	11
pharmacology	2010	11	10	20	21
pharmacology	2011	7	23	27	44
pharmacology	2012	40	31	67	75
pharmacology	2013	89	132	156	207
pharmacology	2014	62	134	218	341
pharmacology	2015	77	176	295	517
pharmacology	2016	113	218	408	735
pharmacology	2017	93	271	501	1006
pharmacology	2018	130	304	631	1310
pharmacology	2019	150	371	781	1681
pharmacology	2020	220	543	1001	2224
pharmacology	2021	270	786	1271	3010
pharmacology	2022	351	1082	1622	4092
pharmacology	2023	205	554	1827	4646
medicine	1999	0	0	0	0
medicine	2000	0	0	0	0
medicine	2001	0	0	0	0
medicine	2002	1	1	1	1
medicine	2003	0	0	1	1
medicine	2004	1	0	2	1
medicine	2005	1	2	3	3
medicine	2006	7	11	10	14
medicine	2007	1	5	11	19
medicine	2008	5	22	16	41
medicine	2009	4	16	20	57
medicine	2010	11	22	31	79
medicine	2011	22	21	53	100
medicine	2012	16	40	69	140
medicine	2013	36	49	105	189
medicine	2014	45	81	150	270
medicine	2015	64	80	214	350
medicine	2016	54	107	268	457
medicine	2017	54	140	322	597
medicine	2018	54	135	376	732
medicine	2019	48	155	424	887
medicine	2020	46	209	470	1096
medicine	2021	44	278	514	1374
medicine	2022	59	281	573	1655
medicine	2023	27	161	600	1816
neuroscience	1999	3	0	3	0
neuroscience	2000	2	0	5	0
neuroscience	2001	3	6	8	6
neuroscience	2002	6	0	14	6
neuroscience	2003	5	0	19	6
neuroscience	2004	3	6	22	12
neuroscience	2005	13	4	35	16
neuroscience	2006	11	11	46	27
neuroscience	2007	13	13	59	40
neuroscience	2008	17	46	76	86
neuroscience	2009	20	77	96	163
neuroscience	2010	18	131	114	294
neuroscience	2011	23	185	137	479
neuroscience	2012	32	177	169	656
neuroscience	2013	32	225	201	881
neuroscience	2014	32	395	233	1276
neuroscience	2015	34	368	267	1644
neuroscience	2016	48	354	315	1998
neuroscience	2017	33	303	348	2301
neuroscience	2018	52	353	400	2654
neuroscience	2019	43	441	443	3095
neuroscience	2020	61	458	504	3553
neuroscience	2021	80	607	584	4160
neuroscience	2022	63	606	647	4766
neuroscience	2023	55	350	702	5116
genetics	1999	0	0	0	0
genetics	2000	0	0	0	0
genetics	2001	0	0	0	0
genetics	2002	0	0	0	0
genetics	2003	0	2	0	2
genetics	2004	1	3	1	5
genetics	2005	0	0	1	5
genetics	2006	3	55	4	60
genetics	2007	3	7	7	67
genetics	2008	11	9	18	76
genetics	2009	13	29	31	105
genetics	2010	14	26	45	131
genetics	2011	25	48	70	179
genetics	2012	33	54	103	233
genetics	2013	21	55	124	288
genetics	2014	26	76	150	364
genetics	2015	43	76	193	440
genetics	2016	62	79	255	519
genetics	2017	36	72	291	591
genetics	2018	26	102	317	693
genetics	2019	44	108	361	801
genetics	2020	36	113	397	914
genetics	2021	31	119	428	1033
genetics	2022	29	104	457	1137
genetics	2023	24	57	481	1194
metabolic engineering	1999	0	0	0	0
metabolic engineering	2000	0	0	0	0
metabolic engineering	2001	0	0	0	0
metabolic engineering	2002	0	0	0	0
metabolic engineering	2003	0	0	0	0
metabolic engineering	2004	0	0	0	0
